Date,Ward,Predicted
2020-02-01,St. Pancras and Somers Town,14.276957
2020-03-01,St. Pancras and Somers Town,11.188664
2020-04-01,St. Pancras and Somers Town,3.1301827
2020-05-01,St. Pancras and Somers Town,4.43901
2020-06-01,St. Pancras and Somers Town,10.803904
2020-07-01,St. Pancras and Somers Town,11.028529
2020-08-01,St. Pancras and Somers Town,10.979215
2020-09-01,St. Pancras and Somers Town,5.5804367
2020-10-01,St. Pancras and Somers Town,10.7595005
2020-11-01,St. Pancras and Somers Town,12.345537
2020-12-01,St. Pancras and Somers Town,7.216644
2021-01-01,St. Pancras and Somers Town,10.473659
2021-02-01,St. Pancras and Somers Town,8.614323
2021-03-01,St. Pancras and Somers Town,8.998394
2021-04-01,St. Pancras and Somers Town,8.621976
2021-05-01,St. Pancras and Somers Town,9.922513
2021-06-01,St. Pancras and Somers Town,9.096933
2021-07-01,St. Pancras and Somers Town,6.976582
2021-08-01,St. Pancras and Somers Town,9.62195
2021-09-01,St. Pancras and Somers Town,6.7503796
2021-10-01,St. Pancras and Somers Town,9.576145
2021-11-01,St. Pancras and Somers Town,5.928705
2021-12-01,St. Pancras and Somers Town,4.67423
2022-01-01,St. Pancras and Somers Town,13.411407
2022-02-01,St. Pancras and Somers Town,7.611006
2022-03-01,St. Pancras and Somers Town,11.124657
2022-04-01,St. Pancras and Somers Town,5.621435
2022-05-01,St. Pancras and Somers Town,12.826123
2022-06-01,St. Pancras and Somers Town,6.1334987
2022-07-01,St. Pancras and Somers Town,13.226978
2022-08-01,St. Pancras and Somers Town,6.5048957
2022-09-01,St. Pancras and Somers Town,9.49734
2022-10-01,St. Pancras and Somers Town,11.8452
2022-11-01,St. Pancras and Somers Town,7.2083225
2022-12-01,St. Pancras and Somers Town,8.298341
2023-01-01,St. Pancras and Somers Town,11.426958
2023-02-01,St. Pancras and Somers Town,7.0368156
2023-03-01,St. Pancras and Somers Town,9.047321
2023-04-01,St. Pancras and Somers Town,8.055877
2023-05-01,St. Pancras and Somers Town,10.926553
2023-06-01,St. Pancras and Somers Town,14.291034
2023-07-01,St. Pancras and Somers Town,6.9271317
2023-08-01,St. Pancras and Somers Town,7.57947
2023-09-01,St. Pancras and Somers Town,12.612607
2023-10-01,St. Pancras and Somers Town,6.87834
2023-11-01,St. Pancras and Somers Town,11.175477
2023-12-01,St. Pancras and Somers Town,7.6115584
2024-01-01,St. Pancras and Somers Town,14.036417
2024-02-01,St. Pancras and Somers Town,12.806809
2024-03-01,St. Pancras and Somers Town,14.799298
2024-04-01,St. Pancras and Somers Town,13.735824
2024-05-01,St. Pancras and Somers Town,9.518861
2024-06-01,St. Pancras and Somers Town,12.495363
2024-07-01,St. Pancras and Somers Town,6.8741326
2024-08-01,St. Pancras and Somers Town,7.3831706
2024-09-01,St. Pancras and Somers Town,10.127295
2024-10-01,St. Pancras and Somers Town,9.43716
2024-11-01,St. Pancras and Somers Town,10.965556
2024-12-01,St. Pancras and Somers Town,14.783252
